Compound,Date,Negative,Neutral,Organization,Positive,Tweets Ago
0.0258,Thu Nov 08 12:06:14 +0000 2018,0.795,0.1,Fox,0.105,71
-0.6486,Thu Nov 08 11:54:22 +0000 2018,0.736,0.264,Fox,0.0,72
-0.6486,Thu Nov 08 11:38:17 +0000 2018,0.719,0.281,Fox,0.0,73
0.0,Thu Nov 08 11:32:26 +0000 2018,1.0,0.0,Fox,0.0,74
-0.6486,Thu Nov 08 11:26:46 +0000 2018,0.677,0.323,Fox,0.0,75
-0.6486,Thu Nov 08 11:18:08 +0000 2018,0.719,0.281,Fox,0.0,76
-0.6486,Thu Nov 08 11:13:32 +0000 2018,0.765,0.235,Fox,0.0,77
0.0,Thu Nov 08 11:12:14 +0000 2018,1.0,0.0,Fox,0.0,78
0.0,Thu Nov 08 10:53:33 +0000 2018,1.0,0.0,Fox,0.0,79
0.0,Thu Nov 08 10:36:12 +0000 2018,1.0,0.0,Fox,0.0,80
0.0,Thu Nov 08 19:18:44 +0000 2018,1.0,0.0,Fox,0.0,81
-0.6124,Thu Nov 08 17:02:25 +0000 2018,0.615,0.269,Fox,0.115,82
-0.7783,Thu Nov 08 15:14:45 +0000 2018,0.638,0.362,Fox,0.0,83
0.7906,Thu Nov 08 14:22:51 +0000 2018,0.611,0.0,Fox,0.389,84
-0.6369,Thu Nov 08 13:43:25 +0000 2018,0.833,0.167,Fox,0.0,85
-0.6597,Thu Nov 08 13:35:03 +0000 2018,0.672,0.328,Fox,0.0,86
-0.34,Thu Nov 08 13:22:27 +0000 2018,0.862,0.138,Fox,0.0,87
0.0,Thu Nov 08 12:56:20 +0000 2018,1.0,0.0,Fox,0.0,88
0.0,Thu Nov 08 12:37:05 +0000 2018,1.0,0.0,Fox,0.0,89
-0.34,Thu Nov 08 12:25:14 +0000 2018,0.87,0.13,Fox,0.0,90
0.0258,Thu Nov 08 12:06:14 +0000 2018,0.795,0.1,Fox,0.105,91
-0.6486,Thu Nov 08 11:54:22 +0000 2018,0.736,0.264,Fox,0.0,92
-0.6486,Thu Nov 08 11:38:17 +0000 2018,0.719,0.281,Fox,0.0,93
0.0,Thu Nov 08 11:32:26 +0000 2018,1.0,0.0,Fox,0.0,94
-0.6486,Thu Nov 08 11:26:46 +0000 2018,0.677,0.323,Fox,0.0,95
-0.6486,Thu Nov 08 11:18:08 +0000 2018,0.719,0.281,Fox,0.0,96
-0.6486,Thu Nov 08 11:13:32 +0000 2018,0.765,0.235,Fox,0.0,97
0.0,Thu Nov 08 11:12:14 +0000 2018,1.0,0.0,Fox,0.0,98
0.0,Thu Nov 08 10:53:33 +0000 2018,1.0,0.0,Fox,0.0,99
0.0,Thu Nov 08 10:36:12 +0000 2018,1.0,0.0,Fox,0.0,100
0.128,Tue Nov 05 17:42:32 +0000 2019,0.786,0.096,BBC,0.118,1
0.5046,Tue Nov 05 17:20:57 +0000 2019,0.767,0.0,BBC,0.233,2
